Date,Day,Number of cars
01/01/19,Tuesday,4
02/01/19,Wednesday,3
03/01/19,Thursday,4
04/01/19,Friday,2
05/01/19,Saturday,4
06/01/19,Sunday,4
07/01/19,Monday,4
08/01/19,Tuesday,2
09/01/19,Wednesday,3
10/01/19,Thursday,2
11/01/19,Friday,3
12/01/19,Saturday,4
13/01/19,Sunday,3
14/01/19,Monday,3
15/01/19,Tuesday,2
16/01/19,Wednesday,3
17/01/19,Thursday,2
18/01/19,Friday,3
19/01/19,Saturday,3
20/01/19,Sunday,3
21/01/19,Monday,2
22/01/19,Tuesday,3
23/01/19,Wednesday,3
24/01/19,Thursday,3
25/01/19,Friday,3
26/01/19,Saturday,3
27/01/19,Sunday,4
28/01/19,Monday,4
29/01/19,Tuesday,2
30/01/19,Wednesday,2
31/01/19,Thursday,2
01/02/19,Friday,2
02/02/19,Saturday,4
03/02/19,Sunday,4
04/02/19,Monday,2
05/02/19,Tuesday,2
06/02/19,Wednesday,2
07/02/19,Thursday,3
08/02/19,Friday,3
09/02/19,Saturday,4
10/02/19,Sunday,3
11/02/19,Monday,2
12/02/19,Tuesday,3
13/02/19,Wednesday,3
14/02/19,Thursday,2
15/02/19,Friday,2
16/02/19,Saturday,4
17/02/19,Sunday,3
18/02/19,Monday,3
19/02/19,Tuesday,3
20/02/19,Wednesday,2
21/02/19,Thursday,4
22/02/19,Friday,2
23/02/19,Saturday,4
24/02/19,Sunday,3
25/02/19,Monday,2
26/02/19,Tuesday,4
27/02/19,Wednesday,2
28/02/19,Thursday,3
01/03/19,Friday,2
02/03/19,Saturday,3
03/03/19,Sunday,4
04/03/19,Monday,3
05/03/19,Tuesday,3
06/03/19,Wednesday,3
07/03/19,Thursday,4
08/03/19,Friday,3
09/03/19,Saturday,4
10/03/19,Sunday,2
11/03/19,Monday,3
12/03/19,Tuesday,3
13/03/19,Wednesday,2
14/03/19,Thursday,2
15/03/19,Friday,2
16/03/19,Saturday,3
17/03/19,Sunday,4
18/03/19,Monday,4
19/03/19,Tuesday,2
20/03/19,Wednesday,3
21/03/19,Thursday,3
22/03/19,Friday,2
23/03/19,Saturday,3
24/03/19,Sunday,4
25/03/19,Monday,3
26/03/19,Tuesday,2
27/03/19,Wednesday,3
28/03/19,Thursday,2
29/03/19,Friday,2
30/03/19,Saturday,4
31/03/19,Sunday,3
01/04/19,Monday,4
02/04/19,Tuesday,3
03/04/19,Wednesday,3
04/04/19,Thursday,3
05/04/19,Friday,3
06/04/19,Saturday,4
07/04/19,Sunday,3
08/04/19,Monday,2
09/04/19,Tuesday,4
10/04/19,Wednesday,2
11/04/19,Thursday,3
12/04/19,Friday,3
13/04/19,Saturday,4
14/04/19,Sunday,3
15/04/19,Monday,3
16/04/19,Tuesday,3
17/04/19,Wednesday,4
18/04/19,Thursday,3
19/04/19,Friday,2
20/04/19,Saturday,3
21/04/19,Sunday,4
22/04/19,Monday,2
23/04/19,Tuesday,4
24/04/19,Wednesday,2
25/04/19,Thursday,2
26/04/19,Friday,2
27/04/19,Saturday,3
28/04/19,Sunday,2
29/04/19,Monday,3
30/04/19,Tuesday,3
01/05/19,Wednesday,2
02/05/19,Thursday,3
03/05/19,Friday,2
04/05/19,Saturday,3
05/05/19,Sunday,4
06/05/19,Monday,3
07/05/19,Tuesday,3
08/05/19,Wednesday,3
09/05/19,Thursday,2
10/05/19,Friday,3
11/05/19,Saturday,4
12/05/19,Sunday,4
13/05/19,Monday,3
14/05/19,Tuesday,3
15/05/19,Wednesday,4
16/05/19,Thursday,2
17/05/19,Friday,3
18/05/19,Saturday,4
